JrId,JournalTitle,MedAbbr,ISSN (Print),ISSN (Online),IsoAbbr,NlmId
73,Acta gerontologica,Acta Gerontol (Milano),0001-5741,,Acta Gerontol (Milano),7501996
74,Acta ginecologica,Acta Ginecol (Madr),0001-5776,,Acta Ginecol (Madr),0370317
75,Acta gynaecologica et obstetrica Hispano-Lusitana,Acta Gynaecol Obstet Hisp Lusit,0001-5784,,Acta Gynaecol Obstet Hisp Lusit,0147664
76,Acta haematologica,Acta Haematol,0001-5792,1421-9662,Acta Haematol,0141053
77,Nihon Ketsueki Gakkai zasshi,Nihon Ketsueki Gakkai Zasshi,0001-5806,,Nihon Ketsueki Gakkai Zasshi,2984803R
78,Acta haematologica Polonica,Acta Haematol Pol,0001-5814,2300-7117,Acta Haematol Pol,0262610
79,Acta hepato-gastroenterologica,Acta Hepatogastroenterol (Stuttg),0300-970X,,Acta Hepatogastroenterol (Stuttg),0340734
80,Acta historica scientiarum naturalium et medicinalium,Acta Hist Sci Nat Med,0065-1311,,Acta Hist Sci Nat Med,0416660
81,Acta histochemica,Acta Histochem,0065-1281,1618-0372,Acta Histochem,0370320
82,Acta iberica radiologica-cancerologica,Acta Iber Radiol Cancerol,0001-589X,,Acta Iber Radiol Cancerol,0370321
83,Acta isotopica,Acta Isot (Padova),0001-5911,,Acta Isot (Padova),0421025
84,Acta Leidensia,Acta Leiden,0065-1362,,Acta Leiden,0413650
85,Igaku kenkyu. Acta medica,Igaku Kenkyu,0076-597X,,Igaku Kenkyu,0421144
86,Acta medica Academiae Scientiarum Hungaricae,Acta Med Acad Sci Hung,0001-5989,,Acta Med Acad Sci Hung,0370323
87,Acta medica Austriaca,Acta Med Austriaca,0303-8173,1563-2571,Acta Med Austriaca,7501997
88,Acta medica Austriaca. Supplement,Acta Med Austriaca Suppl,0303-8181,,Acta Med Austriaca Suppl,7502262
89,Acute care,Acute Care,0254-0819,,Acute Care,8412026
90,Acta medica et biologica,Acta Med Biol (Niigata),0567-7734,,Acta Med Biol (Niigata),0243663
91,Perspectives (Gerontological Nursing Association (Canada)),Perspectives,0831-7445,,Perspectives,8500942
92,Acta medica Italica di medicina tropicale e subtropicale e di gastroenterologia,Acta Med Ital Med Trop Subtrop Gastroenterol,0001-6039,,Acta Med Ital Med Trop Subtrop Gastroenterol,14540080R
93,Acta medica Iugoslavica,Acta Med Iugosl,0375-8338,,Acta Med Iugosl,0370324
94,Acta medicinae legalis et socialis,Acta Med Leg Soc (Liege),0065-1397,,Acta Med Leg Soc (Liege),7611894
95,Acta medica Nagasakiensia,Acta Med Nagasaki,0001-6055,,Acta Med Nagasaki,0372633
96,Family practice research journal,Fam Pract Res J,0270-2304,,Fam Pract Res J,8208228
97,Fetal therapy,Fetal Ther,0257-2788,,Fetal Ther,8700083
98,Gynecological endocrinology,Gynecol Endocrinol,0951-3590,1473-0766,Gynecol Endocrinol,8807913
99,International journal of developmental neuroscience,Int J Dev Neurosci,0736-5748,1873-474X,Int J Dev Neurosci,8401784
100,The Journal of the American Board of Family Practice,J Am Board Fam Pract,0893-8652,1544-8770,J Am Board Fam Pract,8807505
101,Journal of biological regulators and homeostatic agents,J Biol Regul Homeost Agents,0393-974X,1724-6083,J Biol Regul Homeost Agents,8809253
102,Journal of bioluminescence and chemiluminescence,J Biolumin Chemilumin,0884-3996,,J Biolumin Chemilumin,8612490
103,Acta medica Okayama,Acta Med Okayama,0386-300X,,Acta Med Okayama,0417611
104,Journal of bone and mineral research,J Bone Miner Res,0884-0431,1523-4681,J Bone Miner Res,8610640
105,Acta medica Philippina,Acta Med Philipp,0001-6071,2094-9278,Acta Med Philipp,0312677
106,Acta medica Polona,Acta Med Pol,0001-608X,,Acta Med Pol,0370326
107,Acta medica portuguesa,Acta Med Port,0870-399X,1646-0758,Acta Med Port,7906803
108,Acta medica Scandinavica,Acta Med Scand,0001-6101,,Acta Med Scand,0370330
109,Acta medica Scandinavica. Supplementum,Acta Med Scand Suppl,0365-463X,,Acta Med Scand Suppl,0370331
110,Acta medica veterinaria,Acta Med Vet (Napoli),0001-6136,,Acta Med Vet (Napoli),0000212
111,Acta microbiologica Academiae Scientiarum Hungaricae,Acta Microbiol Acad Sci Hung,0001-6187,,Acta Microbiol Acad Sci Hung,0370333
112,Acta microbiologica Bulgarica,Acta Microbiol Bulg,0204-8809,2603-3755,Acta Microbiol Bulg,7901426
113,Acta microbiologica Polonica,Acta Microbiol Pol,0137-1320,,Acta Microbiol Pol,7610362
114,Acta microbiologica Polonica. Series A,Acta Microbiol Pol A,0567-7815,,Acta Microbiol Pol A,7610360
115,Acta microbiologica Polonica. Series B,Acta Microbiol Pol B,0567-7823,,Acta Microbiol Pol B,7610361
116,Acta morphologica Academiae Scientiarum Hungaricae,Acta Morphol Acad Sci Hung,0001-6217,,Acta Morphol Acad Sci Hung,0370334
118,"Acta microbiologica, virologica et immunologica",Acta Microbiol Virol Immunol (Sofiia),0324-0452,,Acta Microbiol Virol Immunol (Sofiia),7600027
119,Acta morphologica Hungarica,Acta Morphol Hung,0236-5391,,Acta Morphol Hung,8307964
120,Acta morphologica Neerlando-Scandinavica,Acta Morphol Neerl Scand,0001-6225,,Acta Morphol Neerl Scand,0370335
121,Acta neurobiologiae experimentalis,Acta Neurobiol Exp (Wars),0065-1400,1689-0035,Acta Neurobiol Exp (Wars),1246675
122,Acta neurochirurgica,Acta Neurochir (Wien),0001-6268,0942-0940,Acta Neurochir (Wien),0151000
123,Acta neurochirurgica. Supplementum,Acta Neurochir Suppl (Wien),,,Acta Neurochir Suppl (Wien),0140560
124,Acta neurologica,Acta Neurol (Napoli),0001-6276,,Acta Neurol (Napoli),0421100
125,Acta rhumatologica,Acta Rhumatol,0250-4642,,Acta Rhumatol,7908064
126,Acta leprologica,Acta Leprol,0001-5938,,Acta Leprol,0037353
127,Acta microbiologica Hungarica,Acta Microbiol Hung,0231-4622,,Acta Microbiol Hung,8400270
128,Acta neurologica Belgica,Acta Neurol Belg,0300-9009,2240-2993,Acta Neurol Belg,0247035
129,Acta neurologica latinoamericana,Acta Neurol Latinoam,0001-6306,,Acta Neurol Latinoam,9421556
130,Acta neurologica. Quaderni,Acta Neurol Quad (Napoli),0515-2976,,Acta Neurol Quad (Napoli),7506814
131,Acta neurologica Scandinavica,Acta Neurol Scand,0001-6314,1600-0404,Acta Neurol Scand,0370336
132,Acta neurologica Scandinavica. Supplementum,Acta Neurol Scand Suppl,0065-1427,1600-5449,Acta Neurol Scand Suppl,0370337
133,Acta neuropathologica,Acta Neuropathol,0001-6322,1432-0533,Acta Neuropathol,0412041
134,Acta neuropathologica. Supplementum,Acta Neuropathol Suppl,0065-1435,,Acta Neuropathol Suppl,0370342
135,Acta neurovegetativa,Acta Neuroveg (Wien),0375-9245,,Acta Neuroveg (Wien),0162324
136,Acta obstetrica y ginecologica hispano-lusitana,Acta Obstet Ginecol Hisp Lusit,0210-9832,,Acta Obstet Ginecol Hisp Lusit,0147634
137,Acta obstetrica y ginecologica hispano-lusitana. Suplemento,Acta Obstet Ginecol Hisp Lusit Suppl,0300-8940,,Acta Obstet Ginecol Hisp Lusit Suppl,0221541
138,Acta obstetrica et gynaecologica Japonica,Acta Obstet Gynaecol Jpn,0001-6330,,Acta Obstet Gynaecol Jpn,0202673
139,Acta obstetricia et gynecologica Scandinavica,Acta Obstet Gynecol Scand,0001-6349,1600-0412,Acta Obstet Gynecol Scand,0370343
140,Acta obstetricia et gynecologica Scandinavica. Supplement,Acta Obstet Gynecol Scand Suppl,0300-8835,,Acta Obstet Gynecol Scand Suppl,0337655
141,Acta odontologica Scandinavica,Acta Odontol Scand,0001-6357,1502-3850,Acta Odontol Scand,0370344
142,Acta odontologica Scandinavica. Supplementum,Acta Odontol Scand Suppl,0365-530X,,Acta Odontol Scand Suppl,0370345
143,Acta odontologica venezolana,Acta Odontol Venez,0001-6365,,Acta Odontol Venez,14540210R
144,Acta oncologica,Acta Oncol (Madr),0001-6381,,Acta Oncol (Madr),0370346
145,Acta ophthalmologica,Acta Ophthalmol (Copenh),0001-639X,,Acta Ophthalmol (Copenh),0370347
146,Acta ophthalmologica. Supplementum,Acta Ophthalmol Suppl,0065-1451,,Acta Ophthalmol Suppl,0370350
147,Acta orthopaedica Belgica,Acta Orthop Belg,0001-6462,,Acta Orthop Belg,2985165R
148,Acta orthopaedica Scandinavica,Acta Orthop Scand,0001-6470,,Acta Orthop Scand,0370352
149,Acta orthopaedica Scandinavica. Supplementum,Acta Orthop Scand Suppl,0300-8827,,Acta Orthop Scand Suppl,0370353
150,Acta oto-laryngologica,Acta Otolaryngol,0001-6489,1651-2251,Acta Otolaryngol,0370354
151,Acta oto-laryngologica. Supplementum,Acta Otolaryngol Suppl,0365-5237,,Acta Otolaryngol Suppl,0370355
152,Acta oto-rhino-laryngologica Belgica,Acta Otorhinolaryngol Belg,0001-6497,,Acta Otorhinolaryngol Belg,0373057
153,Acta otorhinolaryngologica Italica,Acta Otorhinolaryngol Ital,0392-100X,1827-675X,Acta Otorhinolaryngol Ital,8213019
154,Acta oto-rino-laringologica ibero-americana,Acta Otorinolaryngol Iber Am,0001-6500,,Acta Otorinolaryngol Iber Am,7610363
155,Acta paediatrica Academiae Scientiarum Hungaricae,Acta Paediatr Acad Sci Hung,0001-6527,,Acta Paediatr Acad Sci Hung,0372634
156,Acta paediatrica Belgica,Acta Paediatr Belg,0001-6535,,Acta Paediatr Belg,0372635
157,Nihon Shonika Gakkai zasshi. Acta paediatrica Japonica,Nihon Shonika Gakkai Zasshi,0001-6543,,Nihon Shonika Gakkai Zasshi,0413547
158,Acta paediatrica Japonica,Acta Paediatr Jpn,0374-5600,,Acta Paediatr Jpn,0370357
159,Acta paediatrica Scandinavica,Acta Paediatr Scand,0001-656X,,Acta Paediatr Scand,0000211
160,Acta paediatrica Scandinavica. Supplement,Acta Paediatr Scand Suppl,0300-8843,,Acta Paediatr Scand Suppl,0173166
161,Zhonghua Minguo xiao er ke yi xue hui za zhi [Journal]. Zhonghua Minguo xiao er ke yi xue hui,Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi,0001-6578,,Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi,16210470R
162,Acta paedopsychiatrica,Acta Paedopsychiatr,0001-6586,,Acta Paedopsychiatr,0400661
163,Series paedopsychiatrica,Ser Paedopsychiatr,0080-9012,,Ser Paedopsychiatr,0036662
164,Acta pathologica japonica,Acta Pathol Jpn,0001-6632,,Acta Pathol Jpn,0372637
165,Acta pathologica et microbiologica Scandinavica,Acta Pathol Microbiol Scand,0365-5555,,Acta Pathol Microbiol Scand,7508471
166,"Acta pathologica et microbiologica Scandinavica. Section A, Pathology",Acta Pathol Microbiol Scand A,0365-4184,,Acta Pathol Microbiol Scand A,7508468
167,"Acta pathologica et microbiologica Scandinavica. Section B, Microbiology",Acta Pathol Microbiol Scand B,0105-0656,,Acta Pathol Microbiol Scand B,7508472
168,"Acta pathologica et microbiologica Scandinavica. Section C, Immunology",Acta Pathol Microbiol Scand C,0304-1328,,Acta Pathol Microbiol Scand C,7508469
169,Acta pathologica et microbiologica Scandinavica. Supplement,Acta Pathol Microbiol Scand Suppl,,,Acta Pathol Microbiol Scand Suppl,8211440
170,"Acta pathologica, microbiologica, et immunologica Scandinavica. Supplement",Acta Pathol Microbiol Immunol Scand Suppl,0108-0172,,Acta Pathol Microbiol Immunol Scand Suppl,8211441
171,Acta pediatrica espanola,Acta Pediatr Esp,0001-6640,2014-2986,Acta Pediatr Esp,0405466
172,"Acta pathologica, microbiologica, et immunologica Scandinavica. Section A, Pathology",Acta Pathol Microbiol Immunol Scand A,0108-0164,,Acta Pathol Microbiol Immunol Scand A,8206622
173,"Acta pathologica, microbiologica, et immunologica Scandinavica. Section B, Microbiology",Acta Pathol Microbiol Immunol Scand B,0108-0180,,Acta Pathol Microbiol Immunol Scand B,8206623
174,"Acta pathologica, microbiologica, et immunologica Scandinavica. Section C, Immunology",Acta Pathol Microbiol Immunol Scand C,0108-0202,,Acta Pathol Microbiol Immunol Scand C,8206624
175,Acta pharmaceutica Hungarica,Acta Pharm Hung,0001-6659,,Acta Pharm Hung,0414322
176,Zhongguo yao li xue bao = Acta pharmacologica Sinica,Zhongguo Yao Li Xue Bao,0253-9756,,Zhongguo Yao Li Xue Bao,8100330
177,Yao xue xue bao = Acta pharmaceutica Sinica,Yao Xue Xue Bao,0513-4870,,Yao Xue Xue Bao,21710340R
178,Acta pharmaceutica Suecica,Acta Pharm Suec,0001-6675,,Acta Pharm Suec,0000216
179,Acta pharmacologica et toxicologica,Acta Pharmacol Toxicol (Copenh),0001-6683,,Acta Pharmacol Toxicol (Copenh),0370572
180,Acta physiologica Academiae Scientiarum Hungaricae,Acta Physiol Acad Sci Hung,0001-6756,,Acta Physiol Acad Sci Hung,0371156
181,Acta physiologica Hungarica,Acta Physiol Hung,0231-424X,1588-2683,Acta Physiol Hung,8309201
182,Acta physiologica latino americana,Acta Physiol Lat Am,0001-6764,,Acta Physiol Lat Am,0060610
183,Acta physiologica et pharmacologica Bulgarica,Acta Physiol Pharmacol Bulg,0323-9950,,Acta Physiol Pharmacol Bulg,7512568
184,Acta physiologica et pharmacologica latinoamericana,Acta Physiol Pharmacol Latinoam,0326-6656,,Acta Physiol Pharmacol Latinoam,8409686
185,Acta physiologica et pharmacologica Neerlandica,Acta Physiol Pharmacol Neerl,0001-6748,,Acta Physiol Pharmacol Neerl,14610130R
186,Acta physiologica Polonica,Acta Physiol Pol,0044-6033,,Acta Physiol Pol,2985166R
187,Acta physiologica Scandinavica,Acta Physiol Scand,0001-6772,1365-201X,Acta Physiol Scand,0370362
188,Acta physiologica Scandinavica. Supplementum,Acta Physiol Scand Suppl,0302-2994,,Acta Physiol Scand Suppl,0376307
189,Acta poloniae pharmaceutica,Acta Pol Pharm,0001-6837,,Acta Pol Pharm,2985167R
190,Acta psiquiatrica y psicologica de America latina,Acta Psiquiatr Psicol Am Lat,0001-6896,,Acta Psiquiatr Psicol Am Lat,0373060
191,Acta psychiatrica Belgica,Acta Psychiatr Belg,0300-8967,,Acta Psychiatr Belg,0247037
192,Acta psychiatrica Scandinavica,Acta Psychiatr Scand,0001-690X,1600-0447,Acta Psychiatr Scand,0370364
193,Acta psychiatrica Scandinavica. Supplementum,Acta Psychiatr Scand Suppl,0065-1591,1600-5473,Acta Psychiatr Scand Suppl,0370365
194,Acta psychologica,Acta Psychol (Amst),0001-6918,1873-6297,Acta Psychol (Amst),0370366
195,Acta rhumatologica Belgica,Acta Rhumatol Belg,0378-9497,,Acta Rhumatol Belg,7903226
196,Acta radiologica,Acta Radiol Diagn (Stockh),0567-8056,,Acta Radiol Diagn (Stockh),0370367
197,Acta radiologica. Supplementum,Acta Radiol Suppl,0365-5954,,Acta Radiol Suppl,0370370
198,Acta radiologica,Acta Radiol Ther Phys Biol,0567-8064,,Acta Radiol Ther Phys Biol,0000201
199,Acta radiologica,Acta Radiol Oncol Radiat Phys Biol,0348-5196,,Acta Radiol Oncol Radiat Phys Biol,7805897
200,Acta radiologica. Oncology,Acta Radiol Oncol,0349-652X,,Acta Radiol Oncol,8209606
201,Acta medica Iranica,Acta Med Iran,0044-6025,1735-9694,Acta Med Iran,14540050R
202,Acta rheumatologica Scandinavica,Acta Rheumatol Scand,0001-6934,,Acta Rheumatol Scand,0321403
203,Acta Scholae Medicinalis Universitatis in Kioto,Acta Sch Med Univ Kioto,0001-6950,,Acta Sch Med Univ Kioto,7611898
204,Acta Societatis Medicorum Upsaliensis,Acta Soc Med Ups,0001-6985,,Acta Soc Med Ups,0332127
205,Acta stomatologica internationalia,Acta Stomatol Int,0255-4410,,Acta Stomatol Int,8807267
206,Nippon Ganka Gakkai zasshi,Nippon Ganka Gakkai Zasshi,0029-0203,,Nippon Ganka Gakkai Zasshi,7505716
207,Acta socio-medica Scandinavica,Acta Sociomed Scand,0044-6041,,Acta Sociomed Scand,2985168R
208,Acta stomatologica Belgica,Acta Stomatol Belg,0001-7000,,Acta Stomatol Belg,0421026
209,Acta stomatologica Croatica,Acta Stomatol Croat,0001-7019,1846-0410,Acta Stomatol Croat,0253456
210,Acta theriologica,Acta Theriol (Warsz),0001-7051,2190-3743,Acta Theriol (Warsz),0314001
211,Acta tropica,Acta Trop,0001-706X,1873-6254,Acta Trop,0370374
212,Acta tropica. Supplementum,Acta Trop Suppl,0365-1541,,Acta Trop Suppl,7611896
213,Acta tuberculosea et pneumologica Belgica,Acta Tuberc Pneumol Belg,0001-7078,,Acta Tuberc Pneumol Belg,0370376
214,Acta tuberculosea Japonica,Acta Tuberc Jpn,0567-8161,,Acta Tuberc Jpn,0157725
215,Acta tuberculosea et pneumologica Scandinavica,Acta Tuberc Pneumol Scand,0365-7531,,Acta Tuberc Pneumol Scand,0064362
216,Acta Universitatis Carolinae. Medica,Acta Univ Carol Med (Praha),0001-7116,,Acta Univ Carol Med (Praha),2985169R
217,Acta Universitatis Carolinae. Medica. Monographia,Acta Univ Carol Med Monogr,0567-8250,,Acta Univ Carol Med Monogr,0177667
218,Acta urologica Belgica,Acta Urol Belg,0001-7183,,Acta Urol Belg,0377045
219,Hinyokika kiyo. Acta urologica Japonica,Hinyokika Kiyo,0018-1994,,Hinyokika Kiyo,0421145
220,Acta veterinaria Academiae Scientiarum Hungaricae,Acta Vet Acad Sci Hung,0001-7205,,Acta Vet Acad Sci Hung,0370377
221,Acta veterinaria Hungarica,Acta Vet Hung,0236-6290,,Acta Vet Hung,8406376
222,Acta veterinaria Scandinavica,Acta Vet Scand,0044-605X,1751-0147,Acta Vet Scand,0370400
223,Acta veterinaria Scandinavica. Supplementum,Acta Vet Scand Suppl,0065-1699,,Acta Vet Scand Suppl,0061331
224,Acta virologica,Acta Virol,0001-723X,1336-2305,Acta Virol,0370401
225,Acta vitaminologica et enzymologica,Acta Vitaminol Enzymol,0300-8924,,Acta Vitaminol Enzymol,0135063
226,Acta zoologica et pathologica Antverpiensia,Acta Zool Pathol Antverp,0001-7280,,Acta Zool Pathol Antverp,0100314
228,The African journal of psychiatry,Afr J Psychiatry,0331-0175,,Afr J Psychiatry,7802295
229,Actas dermo-sifiliograficas,Actas Dermosifiliogr,0001-7310,1578-2190,Actas Dermosifiliogr,0373062
230,Actas urologicas espanolas,Actas Urol Esp,0210-4806,1699-7980,Actas Urol Esp,7704993
231,Acta Universitatis Palackianae Olomucensis Facultatis Medicae,Acta Univ Palacki Olomuc Fac Med,0301-2514,,Acta Univ Palacki Olomuc Fac Med,0363112
232,"Actas luso-espanolas de neurologia, psiquiatria y ciencias afines",Actas Luso Esp Neurol Psiquiatr Cienc Afines,0300-5062,,Actas Luso Esp Neurol Psiquiatr Cienc Afines,0355573
234,Actas luso-espanolas de neurologia y psiquiatria,Actas Luso Esp Neurol Psiquiatr,0001-7329,,Actas Luso Esp Neurol Psiquiatr,0355646
235,Actualites cardiologiques et angeiologiques internationales,Actual Cardiol Angeiol Int (Paris),0365-1045,,Actual Cardiol Angeiol Int (Paris),0143027
236,Actualites endocrinologiques,Actual Endocrinol (Paris),0065-1826,,Actual Endocrinol (Paris),0370405
237,Actualites hepato-gastro-enterologiques,Actual Hepatogastroenterol (Paris),0240-8007,,Actual Hepatogastroenterol (Paris),0264367
238,Actualites neurophysiologiques,Actual Neurophysiol (Paris),0567-882X,,Actual Neurophysiol (Paris),7513548
239,Actualites odonto-stomatologiques,Actual Odontostomatol (Paris),0001-7817,1760-611X,Actual Odontostomatol (Paris),0370406
240,Actualidad pediatrica; revista de bibliografia internacional,Actual Pediatr (Granada),0001-7671,,Actual Pediatr (Granada),2985171R
241,Actualites pharmacologiques,Actual Pharmacol (Paris),0567-8854,,Actual Pharmacol (Paris),0370407
242,Acupuncture & electro-therapeutics research,Acupunct Electrother Res,0360-1293,,Acupunct Electrother Res,7610364
243,Actualites de physiologie pathologique,Actual Physiol Pathol (Paris),0567-8714,,Actual Physiol Pathol (Paris),7611901
244,Addictive behaviors,Addict Behav,0306-4603,1873-6327,Addict Behav,7603486
245,Advance data,Adv Data,0147-3956,1933-3889,Adv Data,7703830
246,ADM; revista de la Asociacion Dental Mexicana,ADM,,,ADM,0370411
